City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
118,Ostrovnoy,RU,2022-02-13 04:05:06,68.0531,39.5131,15.24,97,95,4.34
119,Saskylakh,RU,2022-02-13 04:09:38,71.9167,114.0833,-9.38,78,74,4.97
120,Ajuchitlan,MX,2022-02-13 04:09:38,20.7167,-100.0167,58.39,60,89,9.53
121,Kismayo,SO,2022-02-13 04:09:38,-0.3582,42.5454,76.71,78,18,11.41
122,Benghazi,LY,2022-02-13 04:09:40,32.1167,20.0667,55.11,70,5,3.06
123,Malibu,US,2022-02-13 04:09:41,34.005,-118.8101,76.24,26,1,3.0
124,San Andres,CO,2022-02-13 04:09:41,12.5847,-81.7006,80.62,78,20,10.36
125,Palauig,PH,2022-02-13 04:09:42,15.435,119.9045,85.98,59,76,4.7
126,Verkhnyaya Inta,RU,2022-02-13 04:09:43,65.9811,60.3094,0.52,80,99,9.42
127,Ourinhos,BR,2022-02-13 04:09:43,-22.9789,-49.8706,64.9,91,2,5.06
128,Gazojak,TM,2022-02-13 04:09:44,41.1875,61.4036,37.15,64,9,3.74
129,Maningrida,AU,2022-02-13 04:09:44,-12.0667,134.2667,89.1,57,5,9.69
130,Kingaroy,AU,2022-02-13 04:09:45,-26.5333,151.8333,82.4,36,11,14.09
131,Coldwater,US,2022-02-13 04:09:45,41.9403,-85.0005,18.34,67,100,4.61
132,Hobyo,SO,2022-02-13 04:09:46,5.3505,48.5268,76.82,70,69,13.96
133,Puerto Cabezas,NI,2022-02-13 04:09:47,14.0351,-83.3888,75.25,87,20,7.23
134,Katsuura,JP,2022-02-13 04:10:48,35.1333,140.3,44.62,90,100,8.79
135,Lompoc,US,2022-02-13 04:10:49,34.6391,-120.4579,66.56,51,41,3.89
136,Dudinka,RU,2022-02-13 04:10:50,69.4058,86.1778,-4.14,76,35,17.98
137,Tibiao,PH,2022-02-13 04:10:50,11.2915,122.0354,84.49,67,100,4.83
138,Liwale,TZ,2022-02-13 04:10:51,-9.7667,37.9333,68.81,98,100,0.63
139,Ipixuna,BR,2022-02-13 04:10:51,-1.7625,-48.8043,78.75,93,100,3.71
140,Pahrump,US,2022-02-13 04:10:28,36.2083,-115.9839,58.05,20,0,2.89
141,Chicama,PE,2022-02-13 04:10:33,-7.8447,-79.1469,66.74,72,90,5.53
142,Cherskiy,RU,2022-02-13 04:10:52,68.75,161.3,-15.93,97,100,9.51
143,Kawalu,ID,2022-02-13 04:10:53,-7.3817,108.2082,83.86,68,97,2.3
144,Nikolskoye,RU,2022-02-13 04:02:38,59.7035,30.7861,35.87,95,100,9.93
